pt,user_count,bet_count,user_ma7,bet_ma7,user_zscore
20260127,1045191,57936145,,,0.3978853759557771
20260128,1011379,56960116,,,0.10731773911954452
20260129,1001762,56864392,,,0.02467285081201913
20260130,1022745,59321921,,,0.2049928769487359
20260131,1050808,63050195,,,0.44615576564314013
20260201,1035424,63992925,,,0.31395144394999563
20260202,1029717,59224316,1028146.5714285715,59621430.0,0.26490762804367896
20260203,1045603,57845209,1028205.4285714285,59608439.14285714,0.40142594931365383
20260204,1083190,58607536,1038464.1428571428,59843784.85714286,0.7244345192226647
20260205,1050787,59278637,1045467.7142857143,60188677.0,0.4459752995253843
20260206,1053182,59704819,1049815.857142857,60243376.71428572,0.4665570305742065
20260207,1081460,61456877,1054194.7142857143,60015759.85714286,0.7095675485694444
20260208,1027140,61442206,1053011.2857142857,59651371.428571425,0.24276185730763933
20260209,977176,56116038,1045505.4285714285,59207331.71428572,-0.18661000495680893
20260210,1024202,56830962,1042448.1428571428,59062439.28571428,0.21751378807113006
20260211,1014561,56671716,1032644.0,58785893.571428575,0.1346626527718837
20260212,1006315,56426029,1026290.8571428572,58378378.14285714,0.06379962386641895
20260213,1038165,59416393,1024145.5714285715,58337174.428571425,0.33750656912946186
20260214,1067175,63484880,1022104.8571428572,58626889.14285714,0.5868076203721895
20260215,1066727,63543792,1027760.1428571428,58927115.71428572,0.5829576765267314
20260216,1029485,59791600,1035232.8571428572,59452196.0,0.26291390712370954
20260217,1003889,60006329,1032331.0,59905819.85714286,0.042951490453290476
20260218,961634,55623930,1024770.0,59756136.14285714,-0.3201721193454498
20260219,971294,56114364,1019767.0,59711612.571428575,-0.2371577051777577
20260220,1003006,57683044,1014744.2857142857,59463991.28571428,0.03536331988288963
20260221,1049021,61536212,1012150.8571428572,59185610.14285714,0.4307989583845826
20260222,981025,58999804,999907.7142857143,58536469.0,-0.15353314365955767
20260223,943470,54313948,987619.8571428572,57753947.28571428,-0.4762667175796072
20260224,919878,53208268,975618.2857142857,56782795.71428572,-0.6790075104413249
20260225,960246,54255901,975420.0,56587363.0,-0.3321000703666462
20260226,409962,17510280,895229.7142857143,51072493.85714286,-5.061034220041004
